File: durak-api
Build ID: 3f6237606f6f1cc77e5dab4717b939f022a7c3ca
Type: cpu
Time: 2026-02-19 16:51:13 MSK
Duration: 25s, Total samples = 55.63s (222.51%)
Showing nodes accounting for 45.12s, 81.11% of 55.63s total
Dropped 754 nodes (cum <= 0.28s)
      flat  flat%   sum%        cum   cum%
    30.40s 54.65% 54.65%     30.40s 54.65%  internal/runtime/syscall/linux.Syscall6
     5.21s  9.37% 64.01%      5.21s  9.37%  runtime.futex
     0.78s  1.40% 65.41%     23.47s 42.19%  github.com/gorilla/websocket.(*Conn).WriteMessage
     0.59s  1.06% 66.47%     23.64s 42.50%  durakonline/backend/internal/ws.(*Hub).Broadcast
     0.51s  0.92% 67.39%      0.51s  0.92%  runtime.memmove
     0.41s  0.74% 68.13%      0.41s  0.74%  runtime.nextFreeFast (inline)
     0.39s   0.7% 68.83%      0.39s   0.7%  runtime.memclrNoHeapPointers
     0.32s  0.58% 69.40%      0.75s  1.35%  runtime.stealWork
     0.31s  0.56% 69.96%      0.31s  0.56%  runtime.osyield
     0.29s  0.52% 70.48%      0.66s  1.19%  internal/poll.runtime_pollSetDeadline
     0.29s  0.52% 71.00%      0.32s  0.58%  runtime.chanrecv
     0.25s  0.45% 71.45%      0.29s  0.52%  runtime.exitsyscall
     0.24s  0.43% 71.89%      1.98s  3.56%  runtime.mallocgc
     0.23s  0.41% 72.30%      0.43s  0.77%  runtime.tryDeferToSpanScan
     0.22s   0.4% 72.69%      1.14s  2.05%  runtime.newobject
     0.21s  0.38% 73.07%      1.91s  3.43%  encoding/json.(*decodeState).object
     0.16s  0.29% 73.36%      0.93s  1.67%  runtime.lock2
     0.16s  0.29% 73.65%      2.08s  3.74%  runtime.unlock2
     0.15s  0.27% 73.92%      0.44s  0.79%  runtime.chansend
     0.14s  0.25% 74.17%      0.56s  1.01%  runtime.scanObjectsSmall
     0.13s  0.23% 74.40%     22.21s 39.92%  github.com/gorilla/websocket.(*Conn).write
     0.13s  0.23% 74.64%     27.41s 49.27%  internal/poll.(*FD).Write
     0.13s  0.23% 74.87%     29.36s 52.78%  syscall.RawSyscall6
     0.12s  0.22% 75.09%      2.29s  4.12%  github.com/redis/go-redis/v9/internal/pool.connCheck
     0.11s   0.2% 75.28%      0.38s  0.68%  encoding/json.checkValid
     0.11s   0.2% 75.48%      1.34s  2.41%  runtime.netpoll
     0.11s   0.2% 75.68%     26.97s 48.48%  syscall.write
     0.10s  0.18% 75.86%      0.68s  1.22%  encoding/json.structEncoder.encode
     0.09s  0.16% 76.02%      0.65s  1.17%  github.com/redis/go-redis/v9/internal/proto.(*Writer).WriteArgs
     0.09s  0.16% 76.18%      8.08s 14.52%  runtime.findRunnable
     0.09s  0.16% 76.34%      0.31s  0.56%  runtime.growslice
     0.09s  0.16% 76.51%      1.27s  2.28%  runtime.mallocgcSmallScanNoHeader
     0.09s  0.16% 76.67%     27.06s 48.64%  syscall.Write (inline)
     0.08s  0.14% 76.81%      2.32s  4.17%  bufio.(*Reader).Peek
     0.08s  0.14% 76.95%      0.60s  1.08%  encoding/json.(*decodeState).literalStore
     0.08s  0.14% 77.10%     22.36s 40.19%  github.com/gorilla/websocket.(*messageWriter).flushFrame
